collection_name,dataset_id,dataset_title,tissue,disease,tissue_general,organism
Exploring the Utility of snRNA-seq in Profiling Human Bladder Tissue: A Comprehensive Comparison with scRNA-seq,601c7454-17ff-432c-8e0d-902bfddb8013,Adult bladder immune subset,urinary bladder,normal,urinary bladder,Homo sapiens
Charting human development using a multi-endodermal organ atlas and organoid models,ee195b7d-184d-4dfa-9b1c-51a7e601ac11,Adult duodenum,duodenum,normal,small intestine,Homo sapiens
A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,f6dafdd1-d746-407e-8019-4470e02d4cbd,B cells,lower lobe of left lung;trachea;bronchus;upper lobe of left lung;lung,normal,lung;respiratory system,Homo sapiens
Immune microniches shape intestinal Treg function,95dfddd0-fe71-4fc2-ac43-02faab9b462d,Myeloid,mesenteric lymph node;caecum;small intestine Peyer's patch;lamina propria of small intestine,normal,lymph node;colon;small intestine,Mus musculus
Tabula Muris Senis,8f1bc86b-7976-4826-8602-f5266160ad86,Brown adipose tissue — A single-cell transcriptomic atlas characterizes ageing tissues in the mouse,brown adipose tissue,normal,adipose tissue,Mus musculus
Spatiotemporal immune zonation of the human kidney,2fc9c59f-3cfd-48d9-9b23-e369ea31bff3,Mature kidney dataset: non PT parenchyma,cortex of kidney;kidney;renal medulla;renal pelvis;kidney blood vessel,normal,kidney,Homo sapiens
Human Brain Cell Atlas v1.0,470565f2-5afc-456a-b617-18e4496c04fd,Dissection: Midbrain (RN) - Red Nucleus - RN,midbrain,normal,brain,Homo sapiens
"Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",4c6f9f26-5470-455b-8933-c408232fbf56,"chRCC - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",kidney,chromophobe renal cell carcinoma,kidney,Homo sapiens
Muraro Pancreas,b07e5164-baf6-43d2-bdba-5a249d0da879,A Single-Cell Transcriptome Atlas of the Human Pancreas,pancreas,normal,pancreas,Homo sapiens
A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,7b3368a5-c1a0-4973-9e75-d95b4150c7da,B cells,lung,normal,lung,Homo sapiens
Tabula Muris Senis,de4e7a0c-91b2-44e4-b382-87da74c9efb6,Large intestine - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2,large intestine,normal,large intestine,Mus musculus
HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,05a49baa-d326-42ae-86d2-94de3a659901,HTAPP-853-SMP-4381 scRNA-seq,liver,breast cancer,liver,Homo sapiens
Spatiotemporal immune zonation of the human kidney,20d87640-4be8-487f-93d4-dce38378d00f,Mature kidney dataset: immune,kidney;cortex of kidney;renal pelvis;renal medulla;kidney blood vessel,normal,kidney,Homo sapiens
Single nuclei RNA- sequencing from the white matter of individuals with progressive MS and non-neurological controls,dc30c3ec-46d6-4cd8-8ec1-b544a3d0f503,Oligodendrocytes in MS,brain white matter;brain,normal;multiple sclerosis,brain,Homo sapiens
Single cell RNA sequencing of paw skin from healthy and Col7a1 knockout (RDEB) mice,389b1fd4-2b65-4f60-baba-feeb17507665,vasculature,autopod skin,epidermolysis bullosa;normal,skin of body,Mus musculus
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,51f476f7-b24d-42f3-8871-7dab3fa35e96,74 years old female - Airway Wash (4 days post-intubation),respiratory airway,COVID-19,respiratory system,Homo sapiens
Single cell transcriptomic profiling identifies molecular phenotypes of newborn human lung cells,6e00ccf7-0749-46ef-a999-dba785630d52,Single cell transcriptomic profiling identifies molecular phenotypes of newborn human lung cells,lung,anencephaly,lung,Homo sapiens
A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,62315937-e268-4fa5-a032-8f7d776f3a3f,"T, NK and ILC",lung,normal,lung,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,cab0bc48-744c-461b-aaf4-7bf2cb7af00d,74 years old female - Fresh PBMCs (4 days post-intubation),blood,COVID-19,blood,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,50eb1e23-b8d4-4f76-a184-44e5541fa05a,74 years old female - Fresh PBMCs (8 days post-intubation),blood,COVID-19,blood,Homo sapiens
HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,1884e651-5f7f-4e6c-a71a-843ba272aaf4,HTAPP-812-SMP-8239 scRNA-seq,axilla,breast cancer,axilla,Homo sapiens
Single-cell transcriptomics of the human retinal pigment epithelium and choroid in health and macular degeneration,af8b241a-c72c-4470-b1a4-80e7336c6ab6,Retina,fovea centralis;peripheral region of retina,cataract;basal laminar drusen;age related macular degeneration 7,eye,Homo sapiens
Spatiotemporal analysis of human intestinal development at single-cell resolution,bbd16004-09e8-4b6c-b465-73ff83a52837,Spatiotemporal analysis of human intestinal development at single-cell resolution: Neural,ileum;hindgut;colon,normal,small intestine;digestive system;colon,Homo sapiens
Human Brain Cell Atlas v1.0,f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181,Dissection: Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - ventral posterior lateral nucleus - VPL,thalamic complex,normal,brain,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,01c93cf6-b695-4e30-a26e-121ae8b16a9e,66 years old female - Fresh PBMCs (7 days post-intubation),blood,COVID-19,blood,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,73b7d0aa-035f-4a15-9f1d-f56b70204591,66 years old female - Airway Wash (7 days post-intubation),respiratory airway,COVID-19,respiratory system,Homo sapiens
Single-cell transcriptomic atlas of the human retina identifies cell types associated with age-related macular degeneration,856c1b98-5727-49da-bf0f-151bdb8cb056,Retina,macula lutea;peripheral region of retina,normal,eye,Homo sapiens
Single-cell proteo-genomic reference maps of the hematopoietic system enable the purification and massive profiling of precisely defined cell states,cd4c96bb-ad66-4e83-ba9e-a7df8790eb12,3 healthy young and 3 healthy old bone marrow donors (Reference sample),bone marrow,normal,bone marrow,Homo sapiens
HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,2dd73feb-0527-47d5-8c7b-35b6de16aecb,HTAPP-364-SMP-1321 scRNA-seq,liver,breast cancer,liver,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,84230ea4-998d-4aa8-8456-81dd54ce23af,74 years old female - Fresh PBMCs (3 days post-intubation),blood,COVID-19,blood,Homo sapiens
A single-cell atlas of the aging mouse ovary,c32b7e3d-0e4b-4d13-bc1d-b80200fff6c4,Aging mouse ovary: Immune cells,ovary,normal,ovary,Mus musculus
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,c874f155-9bf9-4928-b821-f52c876b3e48,49 years old male - Fresh PBMCs (1 day post-intubation),blood,COVID-19,blood,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,79ef1959-a6b4-4cac-82ca-30feaec48df1,74 years old female - Fresh PBMCs (7 days post-intubation),blood,COVID-19,blood,Homo sapiens
Single-cell transcriptome analysis reveals differential nutrient absorption functions in human intestine,80d7111d-f9fe-49fd-871e-6e618312c341,Rectum,rectum,adenocarcinoma,large intestine,Homo sapiens
Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics,f54647ec-0c03-4775-8dac-5a477c10a3f5,Human tonsil T cells scRNA,tonsil,normal,immune system,Homo sapiens
"Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",f801b7a9-80a6-4d09-9161-71474deb58ae,"normal - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",kidney,normal,kidney,Homo sapiens
Immune microniches shape intestinal Treg function,77d2f769-b59d-4b1b-b891-3b123b34fdfe,BCs-PCs,mesenteric lymph node;caecum;small intestine Peyer's patch;lamina propria of small intestine,normal,lymph node;colon;small intestine,Mus musculus
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,ed9e9f96-4f08-49d2-bef5-b2c29adf3edc,66 years old female - Fresh PBMCs (4 days post-intubation),blood,COVID-19,blood,Homo sapiens
Single-cell transcriptome analysis reveals differential nutrient absorption functions in human intestine,4e74d843-8d7a-497a-918a-f079ef141b6d,Colon,ascending colon,adenocarcinoma,colon,Homo sapiens
Spatiotemporal immune zonation of the human kidney,2d31c0ca-0233-41ce-bd1a-05aa8404b073,Fetal kidney dataset: immune,kidney,normal,kidney,Homo sapiens
Single-cell transcriptome analysis reveals differential nutrient absorption functions in human intestine,248cf7bf-508b-4c28-a2fd-cabe2ab956aa,Ileum,ileum,neuroendocrine carcinoma;adenocarcinoma,small intestine,Homo sapiens
Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia,63bb6359-3945-4658-92eb-3072419953e4,UMAP of T-Cells cells,cardia of stomach;body of stomach;duodenum;submucosal esophageal gland;lower esophagus;colon;rectum;esophagogastric junction;ileum,gastric intestinal metaplasia;normal;gastritis;Barrett esophagus,stomach;small intestine;esophagus;colon;large intestine;esophagogastric junction,Homo sapiens
Single cell RNA sequencing of human liver reveals distinct intrahepatic macrophage populations,a43aa46b-bd16-47fe-bc3e-19a052624e79,Liver,liver,normal,liver,Homo sapiens
Tabula Muris Senis,e80d4e1c-672f-496a-8f32-37eab34f727d,Spleen - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2,spleen,normal,spleen,Mus musculus
Tabula Muris Senis,4546e757-34d0-4d17-be06-538318925fcd,Liver - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2,liver,normal,liver,Mus musculus
Tabula Muris Senis,ef47280b-3e68-4188-a49a-7b8374c8a6f2,Pancreas - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x,pancreas,normal,pancreas,Mus musculus
Tabula Muris Senis,ec6c52b8-3368-4f72-a416-1ade0dab97bf,Limb muscle - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2,limb muscle,normal,musculature,Mus musculus
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,2f7230e7-4706-4924-b571-473fc1e52c30,74 years old female - Airway Wash (1 day post-intubation),respiratory airway,COVID-19,respiratory system,Homo sapiens
A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,810ac45f-8969-4698-b42c-652f802f75c2,Endothelium,lung,normal,lung,Homo sapiens
Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver,4ce8d8ec-b94c-4b79-afcb-b094336d8a78,Endothelial cells from human healthy donor liver samples,caudate lobe of liver,normal,liver,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,881fe679-c6e0-45a3-9427-c4e81be6921f,66 years old female - Fresh PBMCs (2 days post-intubation),blood,COVID-19,blood,Homo sapiens
Human Brain Cell Atlas v1.0,0ee5ae70-c3f5-473f-bd1c-287f4690ffc5,Dissection: Myelencephalon (medulla oblongata) (Mo) - sensory relay nuclei in medulla oblongata - MoSR,myelencephalon,normal,brain,Homo sapiens
Tabula Muris Senis,821c79aa-044e-40cf-b331-0fe3edd48019,Mesenteric fat pad — A single-cell transcriptomic atlas characterizes ageing tissues in the mouse,mesenteric fat pad,normal,adipose tissue,Mus musculus
A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,ae5341b8-60fb-4fac-86db-86e49ee66287,Individual Single-Cell RNA-seq PBMC Data from Guo et al.,blood,COVID-19,blood,Homo sapiens
Tabula Muris Senis,170ce19f-7a2f-4926-a1cc-adcad99e7474,Thymus - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2,thymus,normal,endocrine gland,Mus musculus
Tabula Muris Senis,3f4fe86f-aced-4d10-b174-ee35b9f46b9d,Trachea - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2,trachea,normal,respiratory system,Mus musculus
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,f156606a-dd9a-49fd-bc40-0e069b6cf07c,49 years old male - Airway Wash (2 days post-intubation),respiratory airway,COVID-19,respiratory system,Homo sapiens
Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver,76af615b-12fe-4ebb-b8c6-239ad29e26e3,Hepatocyte-2 cells from human healthy donor liver samples,caudate lobe of liver,normal,liver,Homo sapiens
Human Brain Cell Atlas v1.0,a5b5d1f3-dd8b-44f6-a685-15f0f741c062,Dissection: Thalamus (THM) - Subthalamic nucleus and nearby - STH,thalamic complex,normal,brain,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,bd3e3487-c1e6-4298-b9de-8bdcf3f938d7,66 years old female - Airway Wash (2 days post-intubation),respiratory airway,COVID-19,respiratory system,Homo sapiens
A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,0ba16f4b-cb87-4fa3-9363-19fc51eec6e7,Myeloid,lung,normal,lung,Homo sapiens
High-Resolution Transcriptomic Landscape of the Human Submandibular Gland,4a90bbba-df97-4a28-83ae-7386fe7d9167,High-Resolution Transcriptomic Landscape of the Human Submandibular Gland,submandibular gland,normal,exocrine gland,Homo sapiens
Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver,b550fd94-97e0-42e2-90f7-7434781ea2f8,Macrophage cells from human healthy donor liver samples,caudate lobe of liver,normal,liver,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,492d9f77-c4c8-485d-92d7-7686fe6c8482,74 years old female - Airway Wash (3 days post-intubation),respiratory airway,COVID-19,respiratory system,Homo sapiens
A spatially resolved single cell genomic atlas of the adult human breast,396a9124-fb20-4822-bf9c-e93fdf7c999a,scRNA-seq data - B cells,breast,normal,breast,Homo sapiens
Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration,ab5b2256-b209-48b5-a801-c5d9a8c0de56,Non-neuronal cells of human eye,retina,normal,eye,Homo sapiens
HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,ff4cfa86-9c0c-4b7c-abd6-90547657d04f,HTAPP-213-SMP-6752 scRNA-seq,chest wall,breast cancer,chest wall,Homo sapiens
Single nucleus and spatial transcriptomic profiling of human healthy hamstring tendon,06ef6b36-6c9b-4e10-8a94-d0baf274276e,Single nucleus transcriptomic profiling of human healthy hamstring tendon,tendon of semitendinosus,normal,tendon of semitendinosus,Homo sapiens
Tabula Muris Senis,a6626b73-a0de-4dee-99aa-2559ab05af11,Gonadal fat pad — A single-cell transcriptomic atlas characterizes ageing tissues in the mouse,gonadal fat pad,normal,adipose tissue,Mus musculus
Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,14363b6e-3428-45b0-8704-10fd5d6316df,Epithelial bcc and normal_scRNAseq,skin of abdomen;arm skin;skin of cheek;skin of external ear;skin of forehead;nose skin;skin of temple;scalp,normal;basal cell carcinoma,skin of body;scalp,Homo sapiens
Single-Cell Transcriptomic Profiling of Human Dental Pulp in Sound and Carious Teeth: A Pilot Study,bdd109f1-ca27-45dc-bb9f-473008449428,scRNA-seq data of human dental pulp,dental pulp,normal;pulpitis;enamel caries,skeletal system,Homo sapiens
Tabula Muris Senis,c2878000-d3f0-4d30-9a8a-2139a13c72f8,Subcutaneous adipose tissue — A single-cell transcriptomic atlas characterizes ageing tissues in the mouse,subcutaneous adipose tissue,normal,adipose tissue,Mus musculus
Live Human Microglia Single-cell RNA-seq,a1b9c51e-a408-4f7f-bccb-abefe20ae2a5,Olah et al (2020) Single-cell Human Microglia,dorsolateral prefrontal cortex;temporal cortex,Alzheimer disease;temporal lobe epilepsy,brain,Homo sapiens
Human Brain Cell Atlas v1.0,8039c63d-08b0-4fc9-af0f-5b57f08ca0da,Dissection: Perirhinal cortex (area 35) (A35) - rostral subdivision of area 35 - A35r,cerebral cortex,normal,brain,Homo sapiens
Single-cell transcriptomes of the human skin reveal age-related loss of fibroblast priming,124744b8-4681-474a-9894-683896122708,Single-cell transcriptomes of the human skin reveal age-related loss of fibroblast priming,zone of skin,normal,skin of body,Homo sapiens
HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,cd6398a9-c0af-4467-9091-c536866535bd,HTAPP-944-SMP-7479 scRNA-seq,liver,breast cancer,liver,Homo sapiens
Single-cell reconstruction of follicular remodeling in the human adult ovary,1f1c5c14-5949-4c81-b28e-b272e271b672,Single-cell reconstruction of follicular remodeling in the human adult ovary,ovary,normal,ovary,Homo sapiens
Tabula Muris Senis,1a0610d8-1339-479b-b261-7fb586c3dab9,Trachea - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x,trachea,normal,respiratory system,Mus musculus
Human Brain Cell Atlas v1.0,ed11cc3e-2947-407c-883c-c53b043917c3,Dissection: Thalamus (THM) - Lateral nuclear complex (LNC) - ventral anterior nucleus of thalamus - VA,thalamic complex,normal,brain,Homo sapiens
"Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse",9b686bb6-1427-4e13-b451-7ee961115cf9,"Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse 3-species integration non-nuerons",primary motor cortex,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,d5452b83-7c3d-4d7c-ab7a-c7fece7196c5,Dissection: Body of hippocampus (HiB) - Rostral CA3,hippocampal formation,normal,brain,Homo sapiens
HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,a6c0143c-11f7-4a54-8710-6b427b78873a,HTAPP-982-SMP-7629 scRNA-seq,liver,breast cancer,liver,Homo sapiens
Tabula Muris Senis,e3b8c485-7811-407e-99ed-c7d574be9d7c,Pancreas - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2,pancreas,normal,pancreas,Mus musculus
Tabula Muris Senis,05e6f6e3-0473-4b85-9f94-bcc5f1b5e04b,Lung - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2,lung,normal,lung,Mus musculus
Tabula Muris Senis,4fa55ee5-8da4-4d42-9525-1c52d4ce50bf,Skin of body - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x,skin of body,normal,skin of body,Mus musculus
HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,c7d0def0-2dcd-4111-902b-67e6baeac119,HTAPP-880-SMP-7179 scRNA-seq,liver,breast cancer,liver,Homo sapiens
Single cell RNA sequencing of paw skin from healthy and Col7a1 knockout (RDEB) mice,7be2824e-d62a-42ef-9169-084555c6df87,all,autopod skin,epidermolysis bullosa;normal,skin of body,Mus musculus
Persistent T cell unresponsiveness associated with chronic visceral leishmaniasis in HIV-coinfected patients,5b25a46f-f1cf-4caa-9e10-6ab81dfe9174,Longitudinal,blood,HIV infectious disease,blood,Homo sapiens
HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,12c868c6-94df-48b5-acf2-b82f6aa14074,HTAPP-878-SMP-7149 scRNA-seq,axilla,breast cancer,axilla,Homo sapiens
Single-cell and spatial mapping Identify cell types and signaling Networks in the human ureter,54ea5aba-3413-4c6b-a925-b4f1635d6580,Adult ureter immune subset,ureter,normal,ureter,Homo sapiens
Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver,43560d7c-acd6-4ede-830d-c9ffc6cd0862,Natural killer T cells from human healthy donor liver samples,caudate lobe of liver,normal,liver,Homo sapiens
The cellular landscape of breast cancer associated malignant pleural effusions,3e4e2c8e-cd17-4ece-9141-1e7f4ce8da1f,Figure 2,pleural effusion,luminal A breast carcinoma;triple-negative breast carcinoma;luminal B breast carcinoma,pleural fluid,Homo sapiens
Single-cell proteo-genomic reference maps of the hematopoietic system enable the purification and massive profiling of precisely defined cell states,c05fb583-eb2f-4e3a-8e74-f9bd6414e418,healthy young bone marrow donor,bone marrow,normal,bone marrow,Homo sapiens
Human Brain Cell Atlas v1.0,364348b4-bc34-4fe1-a851-60d99e36cafa,Dissection: Thalamus (THM) - intralaminar nuclear complex (ILN) - posterior group of intralaminar nuclei (PILN) - centromedian nucleus of thalamus - CM,thalamic complex,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,c5cfa2b7-abb1-4a50-908f-707b54ca606b,Dissection: Midbrain (M) - Periaqueductal gray and Dorsal raphe nucleus - PAG-DR,midbrain,normal,brain,Homo sapiens
